color_square,position,position_x,corr_resp,type,training_loop.thisRepN,training_loop.thisTrialN,training_loop.thisN,training_loop.thisIndex,trials_loop_1.thisRepN,trials_loop_1.thisTrialN,trials_loop_1.thisN,trials_loop_1.thisIndex,trials_loop_2.thisRepN,trials_loop_2.thisTrialN,trials_loop_2.thisN,trials_loop_2.thisIndex,trials_loop_3.thisRepN,trials_loop_3.thisTrialN,trials_loop_3.thisN,trials_loop_3.thisIndex,key_start_training.started,start_image_training.started,key_start_training.keys,key_start_training.rt,plus_image.started,text_blank_250.started,square_training.started,key_resp_training.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_feedback_component.started,text_blank_500.started,text_feedback_component.stopped,text_blank_500.stopped,plus_image.stopped,text_blank_250.stopped,key_start_trial.started,start_image_trial.started,key_start_trial.keys,key_start_trial.rt,square_trial.started,key_resp_trial.started,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_start_trial_2.started,start_image_trial_2.started,key_start_trial_2.keys,key_start_trial_2.rt,key_finish.started,text_finish.started,key_finish.keys,key_finish.rt,participant,session,bilingual,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,21.44154330017045,21.44154330017045,space,29.483602799940854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,center,0.0,right,neutral,0,0,0,5,,,,,,,,,,,,,,,,,51.00997440004721,51.76502050017007,52.011683700140566,52.011683700140566,left,0,0.9130841000005603,52.95010350015946,53.46037380001508,,,,,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,center,0.0,left,neutral,0,1,1,2,,,,,,,,,,,,,,,,,53.71002009999938,54.50949770002626,54.75914470013231,54.75914470013231,left,1,0.8054299000650644,55.591969600180164,56.09139580000192,56.09139580000192,56.341118100099266,,,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,right,0.5,right,congruent,0,2,2,3,,,,,,,,,,,,,,,,,56.341118100099266,57.14048350020312,57.390421100193635,57.390421100193635,right,1,0.8616768999490887,58.273037099977955,58.77281800005585,58.77281800005585,59.02201180020347,57.14048350020312,57.390421100193635,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,center,0.0,right,neutral,0,3,3,5,,,,,,,,,,,,,,,,,59.02201180020347,59.82140520005487,60.07127930014394,60.07127930014394,right,1,0.701133499853313,60.80435930006206,61.32017680001445,,,59.82140520005487,60.07127930014394,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,center,0.0,left,neutral,0,4,4,2,,,,,,,,,,,,,,,,,61.56984800007194,62.369376900140196,62.619165300158784,62.619165300158784,left,1,0.7452063001692295,63.38550120010041,63.90130120003596,,,,,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,left,-0.5,right,incongruent,0,5,5,4,,,,,,,,,,,,,,,,,64.1509094000794,64.95041580009274,65.19999069999903,65.19999069999903,right,1,0.5968373999930918,65.81734670000151,66.33236530004069,,,,,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,left,-0.5,left,congruent,1,0,6,0,,,,,,,,,,,,,,,,,66.58239170000888,67.38148920005187,67.63150610006414,67.63150610006414,right,0,0.6453148000873625,68.29853900009766,68.81355110020377,,,,,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,center,0.0,left,neutral,1,1,7,2,,,,,,,,,,,,,,,,,69.06346800015308,69.86283710016869,70.11247680010274,70.11247680010274,left,1,0.7875942001119256,70.92897560005076,71.42815000005066,71.42815000005066,71.67789140017703,,,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,right,0.5,left,incongruent,1,2,8,1,,,,,,,,,,,,,,,,,71.67789140017703,72.47710810019635,72.72707500006072,72.72707500006072,left,1,0.6052123999688774,73.3602795000188,73.8759335000068,,,72.47710810019635,72.72707500006072,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,right,0.5,right,congruent,1,3,9,3,,,,,,,,,,,,,,,,,74.12549660005607,74.924984900048,75.17485230020247,75.17485230020247,right,1,0.7104802001267672,75.90813160012476,76.42364180018194,,,,,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,right,0.5,left,incongruent,1,4,10,1,,,,,,,,,,,,,,,,,76.67351520014927,77.47268960019574,77.7224946001079,77.7224946001079,right,0,0.6180548998527229,78.37253880011849,78.88808710011654,,,,,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,left,-0.5,left,congruent,1,5,11,0,,,,,,,,,,,,,,,,,79.13792690006085,79.93729600007646,80.18719760002568,80.18719760002568,left,1,0.9530152999795973,81.16990540013649,81.66911710007116,81.66911710007116,81.91885070013814,,,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,center,0.0,right,neutral,2,0,12,5,,,,,,,,,,,,,,,,,81.91885070013814,82.71806100010872,82.96787080005743,82.96787080005743,right,1,0.5175070001278073,83.52003210014664,84.03373290016316,,,82.71806100010872,82.96787080005743,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,right,0.5,right,congruent,2,1,13,3,,,,,,,,,,,,,,,,,84.28347660019062,85.08286860003136,85.33251920016482,85.33251920016482,left,0,0.7198962999973446,86.08257500012405,86.59796779998578,,,,,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,right,0.5,left,incongruent,2,2,14,1,,,,,,,,,,,,,,,,,86.84783610003069,87.64693600009196,87.8970743000973,87.8970743000973,right,0,0.6679591999854892,88.59684760007076,89.11305400007404,,,,,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,left,-0.5,right,incongruent,2,3,15,4,,,,,,,,,,,,,,,,,89.36227560020052,90.16163480002433,90.4119860001374,90.4119860001374,right,1,0.5772228999994695,91.01174560002983,91.5270646000281,,,,,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,center,0.0,left,neutral,2,4,16,2,,,,,,,,,,,,,,,,,91.77696950011887,92.57622300018556,92.8259525001049,92.8259525001049,right,0,0.562707600183785,93.4111330001615,93.92529739998281,,,,,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,center,0.0,right,neutral,2,5,17,5,,,,,,,,,,,,,,,,,94.17495390004478,94.97418840019964,95.22400060016662,95.22400060016662,right,1,0.5164791999850422,95.75846410007216,96.27293380000629,,,,,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,right,0.5,left,incongruent,3,0,18,1,,,,,,,,,,,,,,,,,96.52318180003203,97.32190049998462,97.57184009999037,97.57184009999037,right,0,0.5680862001609057,98.17153070005588,98.67091720015742,98.67091720015742,98.92069350020029,,,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,left,-0.5,right,incongruent,3,1,19,4,,,,,,,,,,,,,,,,,98.92069350020029,99.71989230019972,99.96973690018058,99.96973690018058,left,0,0.5231534000486135,100.52022609999403,101.0354238001164,,,99.71989230019972,99.96973690018058,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,left,-0.5,left,congruent,3,2,20,0,,,,,,,,,,,,,,,,,101.28530490002595,102.08450430002995,102.33450810005888,102.33450810005888,left,1,0.5736080000642687,102.93433210020885,103.43368300003931,103.43368300003931,103.6831340000499,,,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,left,-0.5,right,incongruent,3,3,21,4,,,,,,,,,,,,,,,,,103.6831340000499,104.48247730010189,104.7325210000854,104.7325210000854,right,1,0.5923810000531375,105.34869290003553,105.84805340017192,105.84805340017192,106.09771360014565,104.48247730010189,104.7325210000854,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,right,0.5,right,congruent,3,4,22,3,,,,,,,,,,,,,,,,,106.09771360014565,106.89723160001449,107.14664140017703,107.14664140017703,right,1,0.8506763998884708,108.02982890000567,108.52947530010715,108.52947530010715,,106.89723160001449,107.14664140017703,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,left,-0.5,left,congruent,3,5,23,0,,,,,,,,,,,,,,,,,108.79539790004492,109.59463450009935,109.84462490002625,109.84462490002625,right,0,0.624008399900049,110.49434670014307,111.0100734999869,,,,,,,,,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.2597535001114,111.2597535001114,space,23.920394399901852,,,,,,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,left,-0.5,left,congruent,,,,,0,0,0,0,,,,,,,,,,,,,135.2060073001776,136.02164130005985,,,,,,,137.17058959999122,,137.42071630014107,,,,,,,136.27137930016033,136.27137930016033,left,1,0.8769243001006544,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,right,0.5,left,incongruent,,,,,0,1,1,1,,,,,,,,,,,,,137.42071630014107,138.23628850001842,,,,,,,139.21886020014063,,139.4687436001841,,,,,,,138.48631509998813,138.48631509998813,left,1,0.7020772998221219,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,left,-0.5,right,incongruent,,,,,0,2,2,4,,,,,,,,,,,,,139.4687436001841,140.2681317999959,,,,,,,141.0172568000853,,141.266925400123,140.2681317999959,140.5176961000543,,,,,140.5176961000543,140.5176961000543,right,1,0.470632900018245,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,left,-0.5,right,incongruent,,,,,0,3,3,4,,,,,,,,,,,,,141.266925400123,142.06631610007025,,,,,,,142.91566730011255,,143.16547270002775,142.06631610007025,142.3161111001391,,,,,142.3161111001391,142.3161111001391,right,1,0.5776887000538409,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,right,0.5,right,congruent,,,,,0,4,4,3,,,,,,,,,,,,,143.16547270002775,143.96487060002983,,,,,,,144.78078300016932,,145.03045660001226,143.96487060002983,144.2145530001726,,,,,144.2145530001726,144.2145530001726,right,1,0.533480699872598,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,left,-0.5,left,congruent,,,,,0,5,5,0,,,,,,,,,,,,,145.03045660001226,145.82964460016228,,,,,,,146.87883040006272,,147.12886629998684,145.82964460016228,146.07969650020823,,,,,146.07969650020823,146.07969650020823,left,1,0.7725698000285774,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,right,0.5,right,congruent,,,,,1,0,6,3,,,,,,,,,,,,,147.12886629998684,147.9294787000399,,,,,,,148.9104224999901,,149.16014510020614,147.9294787000399,148.17816320015118,,,,,148.17816320015118,148.17816320015118,right,1,0.7154584999661893,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,right,0.5,left,incongruent,,,,,1,1,7,1,,,,,,,,,,,,,149.16014510020614,149.9593722000718,,,,,,,150.9753116001375,,151.22493940009736,149.9593722000718,150.20917110005394,,,,,150.20917110005394,150.20917110005394,left,1,0.7474879999645054,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,right,0.5,right,congruent,,,,,1,2,8,3,,,,,,,,,,,,,151.22493940009736,152.02448500017636,,,,,,,153.10674780001864,,153.35655650007538,152.02448500017636,152.2739980001934,,,,,152.2739980001934,152.2739980001934,right,1,0.8036593999713659,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,right,0.5,right,congruent,,,,,1,3,9,3,,,,,,,,,,,,,153.35655650007538,154.1559886999894,,,,,,,155.05518750008196,,155.30466620018706,154.1559886999894,154.40573790017515,,,,,154.40573790017515,154.40573790017515,right,1,0.6227750000543892,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,right,0.5,left,incongruent,,,,,1,4,10,1,,,,,,,,,,,,,155.30466620018706,156.10453870007768,,,,,,,157.13668790017255,,157.3862872000318,156.10453870007768,156.35402730014175,,,,,156.35402730014175,156.35402730014175,left,1,0.7551760000642389,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,left,-0.5,right,incongruent,,,,,1,5,11,4,,,,,,,,,,,,,157.3862872000318,158.18563830014318,,,,,,,159.05155880004168,,159.3014128000941,158.18563830014318,158.43546320009045,,,,,158.43546320009045,158.43546320009045,right,1,0.5846805998589844,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,center,0.0,right,neutral,,,,,2,0,12,5,,,,,,,,,,,,,159.3014128000941,160.10070730000734,,,,,,,160.99990050005727,,161.2495201001875,160.10070730000734,160.35047619999386,,,,,160.35047619999386,160.35047619999386,right,1,0.6221300000324845,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,center,0.0,right,neutral,,,,,2,1,13,5,,,,,,,,,,,,,161.2495201001875,162.04883480002172,,,,,,,162.93166750017554,,163.18141419999301,162.04883480002172,162.2989120001439,,,,,162.2989120001439,162.2989120001439,right,1,0.6008063000626862,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,right,0.5,right,congruent,,,,,2,2,14,3,,,,,,,,,,,,,163.18141419999301,163.98053820012137,,,,,,,164.92965760012157,,165.1797812001314,163.98053820012137,164.23045510007069,,,,,164.23045510007069,164.23045510007069,left,0,0.6712560001760721,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
red,left,-0.5,right,incongruent,,,,,2,3,15,4,,,,,,,,,,,,,165.1797812001314,165.9954930001404,,,,,,,166.96141010010615,,167.21128619997762,,,,,,,166.24537100014277,166.24537100014277,right,1,0.6952067001257092,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,right,0.5,left,incongruent,,,,,2,4,16,1,,,,,,,,,,,,,167.21128619997762,168.02685110014863,,,,,,,168.8598291000817,,169.1099331001751,,,,,,,168.27681710012257,168.27681710012257,left,1,0.5595630998723209,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,right,0.5,left,incongruent,,,,,2,5,17,1,,,,,,,,,,,,,169.1099331001751,169.92551720002666,,,,,,,170.84133860003203,,171.0910000000149,,,,,,,170.17513950006105,170.17513950006105,left,1,0.64549639984034,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,center,0.0,left,neutral,,,,,3,0,18,2,,,,,,,,,,,,,171.0910000000149,171.890364699997,,,,,,,172.6230195001699,,172.87289080000482,171.890364699997,172.14026220003143,,,,,172.14026220003143,172.14026220003143,right,0,0.45615750015713274,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,left,-0.5,left,congruent,,,,,3,1,19,0,,,,,,,,,,,,,172.87289080000482,173.67204590002075,,,,,,,174.60461390018463,,174.85433650016785,173.67204590002075,173.92203600006178,,,,,173.92203600006178,173.92203600006178,left,1,0.6665747999213636,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,right,0.5,left,incongruent,,,,,3,2,20,1,,,,,,,,,,,,,174.85433650016785,175.6537820000667,,,,,,,176.4030333000701,,176.65283760009333,175.6537820000667,175.9035761000123,,,,,175.9035761000123,175.9035761000123,left,1,0.4771676999516785,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,center,0.0,left,neutral,,,,,3,3,21,2,,,,,,,,,,,,,176.65283760009333,177.45270220004022,,,,,,,178.13492440013215,,178.38492260011844,177.45270220004022,177.7021759999916,,,,,177.7021759999916,177.7021759999916,left,1,0.414854200091213,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
blue,left,-0.5,left,congruent,,,,,3,4,22,0,,,,,,,,,,,,,178.38492260011844,179.2005432001315,,,,,,,179.99995690002106,,180.24961450020783,,,,,,,179.4504258001689,179.4504258001689,left,1,0.5226050999481231,,,,,,,,,2,001,n,2024-05-28_18h35.12.585,simon,2022.2.5,59.75104123833747,
